task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	00/af30e0	1087	get_uniprot_data (2)	CACHED	0	2025-07-10 10:19:07.358	3.4s	3.3s	-	-	-	-	-
7	7a/3662af	1043	get_uniprot_data (7)	CACHED	0	2025-07-10 10:19:07.340	3.4s	3.3s	-	-	-	-	-
4	76/a04ddc	1013	get_uniprot_data (4)	CACHED	0	2025-07-10 10:19:07.294	4.2s	4.2s	-	-	-	-	-
5	bf/f0d29c	1070	get_uniprot_data (5)	CACHED	0	2025-07-10 10:19:07.315	3.4s	3.3s	-	-	-	-	-
3	7f/bf416b	1066	get_uniprot_data (3)	CACHED	0	2025-07-10 10:19:07.345	4.2s	4.2s	-	-	-	-	-
8	61/633a5e	995	get_uniprot_data (8)	CACHED	0	2025-07-10 10:19:07.257	3.4s	3.4s	-	-	-	-	-
1	cd/cfcce5	1142	get_uniprot_data (1)	CACHED	0	2025-07-10 10:19:07.379	4.2s	4.2s	-	-	-	-	-
6	d2/edca52	1046	get_uniprot_data (6)	CACHED	0	2025-07-10 10:19:07.336	4.2s	4.1s	-	-	-	-	-
11	95/af5890	1581	get_uniprot_data (10)	CACHED	0	2025-07-10 10:19:10.707	1.9s	1.9s	-	-	-	-	-
14	4b/4557ff	1604	get_uniprot_data (13)	CACHED	0	2025-07-10 10:19:10.734	2s	2s	-	-	-	-	-
13	06/e056d8	1586	get_uniprot_data (12)	CACHED	0	2025-07-10 10:19:10.724	2.1s	2.1s	-	-	-	-	-
9	1b/7b7cba	1918	get_uniprot_data (9)	CACHED	0	2025-07-10 10:19:11.700	1.9s	1.8s	-	-	-	-	-
16	2a/625f9e	2286	get_uniprot_data (15)	CACHED	0	2025-07-10 10:19:12.677	1.9s	1.9s	-	-	-	-	-
15	4f/890cde	1927	get_uniprot_data (14)	CACHED	0	2025-07-10 10:19:11.709	1.9s	1.8s	-	-	-	-	-
17	41/8799bc	1867	get_uniprot_data (16)	CACHED	0	2025-07-10 10:19:11.587	2s	1.9s	-	-	-	-	-
12	ef/dc5bed	1873	get_uniprot_data (11)	CACHED	0	2025-07-10 10:19:11.648	2s	1.9s	-	-	-	-	-
25	db/674ade	2311	get_uniprot_data (18)	CACHED	0	2025-07-10 10:19:12.735	1.9s	1.8s	-	-	-	-	-
20	de/126002	2561	extract_pdb (3)	CACHED	0	2025-07-10 10:19:13.586	5m 5s	5m 5s	-	-	-	-	-
26	91/d27cf3	1672	get_uniprot_data (19)	CACHED	0	2025-07-10 10:19:10.767	2s	1.9s	-	-	-	-	-
21	27/e910c4	2437	extract_pdb (4)	CACHED	0	2025-07-10 10:19:12.842	5m 6s	5m 6s	-	-	-	-	-
23	6e/ec6a29	2826	extract_pdb (6)	CACHED	0	2025-07-10 10:19:14.654	5m 4s	5m 4s	-	-	-	-	-
22	76/12421e	2665	extract_pdb (5)	CACHED	0	2025-07-10 10:19:13.676	5m 5s	5m 5s	-	-	-	-	-
19	72/5db3b5	2587	extract_pdb (2)	CACHED	0	2025-07-10 10:19:13.623	5m 5s	5m 5s	-	-	-	-	-
18	22/8cfc91	2309	get_uniprot_data (17)	CACHED	0	2025-07-10 10:19:12.726	1.9s	1.8s	-	-	-	-	-
32	7d/709469	3484	run_merizo (2)	CACHED	0	2025-07-10 10:24:18.825	2m 1s	2m 1s	-	-	-	-	-
30	e4/71ada3	3461	run_chainsaw (2)	CACHED	0	2025-07-10 10:24:18.820	27.8s	27.8s	-	-	-	-	-
10	74/0659f3	2575	extract_pdb (1)	CACHED	0	2025-07-10 10:19:13.616	5m 5s	5m 5s	-	-	-	-	-
24	cd/362fbd	2818	extract_pdb (7)	CACHED	0	2025-07-10 10:19:14.629	5m 4s	5m 4s	-	-	-	-	-
29	b6/e7f037	3559	run_merizo (3)	CACHED	0	2025-07-10 10:24:18.843	1m 55s	1m 55s	-	-	-	-	-
27	91/c58063	3510	run_chainsaw (3)	CACHED	0	2025-07-10 10:24:18.834	25.2s	25.2s	-	-	-	-	-
35	aa/d0f800	4625	run_unidoc (5)	CACHED	0	2025-07-10 10:24:44.081	1.5s	1.4s	-	-	-	-	-
36	42/f456f5	5282	run_chainsaw (7)	CACHED	0	2025-07-10 10:25:18.349	36.1s	36s	-	-	-	-	-
34	42/3de843	4982	run_unidoc (6)	CACHED	0	2025-07-10 10:25:13.589	2.2s	2.1s	-	-	-	-	-
33	bc/185034	5167	run_unidoc (7)	CACHED	0	2025-07-10 10:25:15.792	2.5s	2.4s	-	-	-	-	-
37	96/1e9c01	5053	run_merizo (7)	CACHED	0	2025-07-10 10:25:14.367	1m 9s	1m 9s	-	-	-	-	-
46	ca/b68ebd	3425	run_merizo (1)	CACHED	0	2025-07-10 10:24:18.764	1m 33s	1m 33s	-	-	-	-	-
44	05/a09eb1	4556	run_merizo (5)	CACHED	0	2025-07-10 10:24:43.630	1m 37s	1m 37s	-	-	-	-	-
41	d2/c3a923	4052	run_chainsaw (4)	CACHED	0	2025-07-10 10:24:20.911	22.1s	22.1s	-	-	-	-	-
40	eb/2a246b	4471	run_chainsaw (5)	CACHED	0	2025-07-10 10:24:43.068	31.3s	31.2s	-	-	-	-	-
38	60/cadd64	4743	run_chainsaw (6)	CACHED	0	2025-07-10 10:24:45.623	27.9s	27.9s	-	-	-	-	-
45	a5/88ee6a	4148	run_merizo (4)	CACHED	0	2025-07-10 10:24:21.317	1m 27s	1m 27s	-	-	-	-	-
31	4f/0676a7	3444	run_unidoc (2)	CACHED	0	2025-07-10 10:24:18.812	2.1s	2s	-	-	-	-	-
39	47/0cd8f6	4812	run_merizo (6)	CACHED	0	2025-07-10 10:24:46.633	1m 33s	1m 33s	-	-	-	-	-
28	00/371b44	3954	run_unidoc (3)	CACHED	0	2025-07-10 10:24:20.531	771ms	679ms	-	-	-	-	-
43	8c/58ff3b	3428	run_chainsaw (1)	CACHED	0	2025-07-10 10:24:18.772	22.5s	22.4s	-	-	-	-	-
42	5b/90ea93	4387	run_unidoc (4)	CACHED	0	2025-07-10 10:24:41.299	2.3s	2.2s	-	-	-	-	-
48	c7/ec7002	3441	run_unidoc (1)	CACHED	0	2025-07-10 10:24:18.799	1.7s	1.7s	-	-	-	-	-
47	b9/d80592	2831	collect_taxonomy	CACHED	0	2025-07-10 10:19:14.658	161ms	83ms	-	-	-	-	-
51	3d/015056	11714	run_filter_domains (1)	COMPLETED	0	2025-07-10 10:59:00.774	848ms	188ms	23.8%	5.2 MB	15.6 MB	678.9 KB	1.3 KB
49	ab/58a380	11732	collect_results (1)	COMPLETED	0	2025-07-10 10:59:00.806	1.5s	1.2s	98.8%	5.2 MB	15.6 MB	9.4 MB	892 B
50	95/c38f04	11721	convert_files (1)	COMPLETED	0	2025-07-10 10:59:00.796	2.2s	1.5s	132.4%	43.9 MB	378.2 MB	18.2 MB	2.7 KB
52	8f/ccc3c7	12258	run_filter_domains_reformatted (1)	COMPLETED	0	2025-07-10 10:59:03.169	809ms	170ms	64.9%	1.6 MB	5.4 MB	1.3 MB	2.6 KB
53	ec/a34a9a	12386	run_get_consensus (1)	COMPLETED	0	2025-07-10 10:59:04.021	3.2s	2.8s	118.7%	810 MB	1.1 GB	12.4 MB	1.8 KB
54	bd/2ec7fa	12634	run_filter_consensus (1)	COMPLETED	0	2025-07-10 10:59:07.207	329ms	138ms	90.3%	5.5 MB	15.6 MB	1 MB	1.5 KB
