task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
8	55/a830d8	25444	get_uniprot_data (8)	COMPLETED	0	2025-07-10 11:54:38.406	2.1s	1.8s	86.2%	50.4 MB	384.5 MB	10.8 MB	1.7 KB
1	e0/d57fad	25420	get_uniprot_data (1)	COMPLETED	0	2025-07-10 11:54:38.333	2.2s	1.9s	82.2%	44.4 MB	375.2 MB	10.8 MB	1.8 KB
5	06/1564a1	25614	get_uniprot_data (5)	COMPLETED	0	2025-07-10 11:54:38.526	2s	1.7s	91.1%	55.3 MB	392 MB	10.8 MB	1.8 KB
4	68/d92458	25600	get_uniprot_data (4)	COMPLETED	0	2025-07-10 11:54:38.504	2.1s	1.7s	92.8%	56.2 MB	393.4 MB	10.8 MB	1.8 KB
3	09/415ed5	25663	get_uniprot_data (3)	COMPLETED	0	2025-07-10 11:54:38.497	2.2s	1.8s	87.7%	54.4 MB	391.1 MB	10.8 MB	1.8 KB
6	6a/10aaf9	25474	get_uniprot_data (6)	COMPLETED	0	2025-07-10 11:54:38.429	2.4s	2s	78.2%	48.5 MB	382 MB	10.8 MB	1.7 KB
7	94/ebbbdc	25640	get_uniprot_data (7)	COMPLETED	0	2025-07-10 11:54:38.533	2.3s	1.8s	84.9%	49.1 MB	383.2 MB	10.8 MB	1.7 KB
2	77/e598a9	25587	get_uniprot_data (2)	COMPLETED	0	2025-07-10 11:54:38.485	2.4s	2s	79.0%	54.6 MB	391.3 MB	10.8 MB	1.8 KB
9	c0/7043a7	27027	get_uniprot_data (9)	COMPLETED	0	2025-07-10 11:54:40.469	2.1s	1.8s	91.2%	44.9 MB	377 MB	10.8 MB	1.8 KB
10	0c/22c0d1	27082	get_uniprot_data (10)	COMPLETED	0	2025-07-10 11:54:40.541	2.1s	1.7s	93.5%	50.1 MB	384.3 MB	10.8 MB	1.8 KB
14	64/9ea903	27121	get_uniprot_data (14)	COMPLETED	0	2025-07-10 11:54:40.583	2.2s	1.8s	88.3%	47.9 MB	380.7 MB	10.8 MB	1.9 KB
12	5a/2dafdc	27152	get_uniprot_data (12)	COMPLETED	0	2025-07-10 11:54:40.617	2.1s	1.7s	92.4%	52.3 MB	387.1 MB	10.8 MB	1.8 KB
13	59/334512	27377	get_uniprot_data (13)	COMPLETED	0	2025-07-10 11:54:40.743	2.2s	1.8s	92.4%	49.6 MB	383.2 MB	10.8 MB	1.8 KB
11	75/e3cea9	27473	get_uniprot_data (11)	COMPLETED	0	2025-07-10 11:54:40.810	2.1s	1.8s	94.0%	51.4 MB	385.4 MB	10.8 MB	1.7 KB
19	e3/ce3f0c	27636	get_uniprot_data (19)	COMPLETED	0	2025-07-10 11:54:40.901	2.9s	2.5s	63.5%	58.7 MB	395.1 MB	10.8 MB	1.8 KB
15	83/a573a2	27568	get_uniprot_data (15)	COMPLETED	0	2025-07-10 11:54:40.849	3s	2.6s	60.8%	59 MB	395.4 MB	10.8 MB	1.8 KB
